Word,Number Of Occurences,Number Of Steps
winkle,7,7
wheedlesome,4,8
pondering,1,3
rhythmic,1,4
submit,2,10
vitals,1,1
bride,8,8
moaned,1,2
ditto,3,9
charter,1,1
beach,3,6
preposterous,1,3
regretting,1,4
attribute,1,1
wood,9,9
ebony,2,4
unfitted,1,3
twelve,13,13
healths,1,2
succeeding,3,3
urged,2,2
stirring,3,3
nymph,1,2
venture,5,5
bearlike,1,2
sweep,4,4
punching,1,2
sword,3,3
healthy,6,12
wool,1,3
devereux,2,2
swore,1,2
usurper,1,3
circumspection,1,4
consents,1,1
unexpected,12,24
princess,3,9
indulging,1,4
sweet,69,69
assumed,7,14
ornaments,6,6
darning,2,4
yellowish,1,1
turban,1,2
betsey,1,3
fall,28,28
waved,15,30
unjust,4,12
circumstances,5,5
wrong,34,34
droning,1,2
overdoing,1,3
secretly,3,12
console,7,7
sworn,1,2
called,86,86
bills,5,5
barber,1,2
greatcoat,4,12
porcupine,1,1
lovelornity,3,6
christmas,38,38
implored,3,6
elephants,1,3
gasp,2,2
hampton,2,4
pertinaciously,1,3
glad,97,97
reserved,2,4
splitting,2,6
dangerously,2,2
managing,2,2
brief,4,8
jacket,3,9
waves,2,8
gypsies,1,5
weather,18,18
dumbly,1,1
probably,7,14
announce,1,1
gesture,15,30
terms,3,9
tidings,2,2
indolence,1,1
pipers,1,2
understand,33,33
alarmingly,2,4
curb,1,3
esteemed,1,4
metaphysics,2,10
owing,2,12
borrow,7,7
fame,6,12
theory,3,9
posts,1,4
hammering,3,3
cure,9,9
beads,3,6
improves,1,3
boyish,16,16
something,177,354
household,12,12
sing,17,34
equestrian,1,3
talks,8,32
reposeful,2,10
potions,3,3
patted,3,6
games,4,4
curiosity,14,28
chateau,5,15
ittle,1,1
corner,41,41
gate,21,42
sink,1,3
silvery,5,5
thunder,3,6
curl,6,18
professors,9,36
beholders,1,5
climb,5,5
upholsterer,1,2
wonderschones,1,1
sharpened,2,4
gingolf,1,3
resentment,2,2
ninepence,1,2
ponies,5,5
array,8,8
wardrobes,1,2
neatly,4,12
undiminished,1,4
reveries,1,5
crayon,2,2
uncontrollable,1,2
sins,8,8
friendliest,3,6
hardened,2,6
muttered,13,13
improved,14,28
shoulders,19,19
introduced,11,22
extravagance,2,6
prevoking,1,4
eloquence,6,6
snub,3,3
enlivened,2,4
haunting,1,3
guided,1,4
style,27,27
corned,1,2
crept,9,9
desperation,2,4
oui,1,1
pieces,3,6
tiresome,2,2
caricatures,2,4
fiction,2,6
ruche,1,1
weds,1,2
job,2,6
amazement,6,6
misses,3,6
crimson,5,5
merci,1,1
involuntarily,4,8
curtains,11,11
inquired,6,12
occasionally,9,27
wreck,3,3
insinuatingly,1,2
wouldnt,94,94
